date,open,close,high,low,volume
2024-01-02,6.63,6.71,6.76,6.59,131654.98
2024-01-03,6.68,6.67,6.71,6.62,82215.84
2024-01-04,6.66,6.67,6.71,6.61,66067.01
2024-01-05,6.62,6.45,6.68,6.39,115223.02
2024-01-08,6.4,6.2,6.43,6.2,92693.01
2024-01-09,6.24,6.29,6.4,6.2,100201.41
2024-01-10,6.26,6.28,6.4,6.18,97056.27
2024-01-11,6.25,6.38,6.42,6.23,81968.46
2024-01-12,6.37,6.38,6.54,6.35,94824.45
2024-01-15,6.39,6.32,6.43,6.29,105195.0
2024-01-16,6.32,6.36,6.42,6.27,103364.0
2024-01-17,6.36,6.14,6.36,6.14,73730.32
2024-01-18,6.14,5.98,6.2,5.75,202865.71
2024-01-19,5.98,5.85,6.03,5.8,108289.0
2024-01-22,5.84,5.27,5.86,5.27,260439.01
2024-01-23,5.27,5.59,5.66,5.27,284500.24
2024-01-24,5.57,5.71,5.75,5.5,212058.0
2024-01-25,5.71,6.01,6.02,5.69,181737.32
2024-01-26,6.0,5.98,6.06,5.93,116315.4
2024-01-29,5.98,5.82,6.03,5.8,123718.1
2024-01-30,5.77,5.64,5.94,5.6,123604.36
2024-01-31,5.45,5.16,5.58,5.13,234988.74
2024-02-01,5.16,5.12,5.65,5.1,317122.71
2024-02-02,5.17,4.77,5.2,4.61,345355.68
2024-02-05,4.72,4.29,4.72,4.29,304683.17
2024-02-06,3.91,4.24,4.42,3.9,392559.51
2024-02-07,4.29,4.63,4.66,4.28,471478.43
2024-02-08,4.5,4.78,4.89,4.48,432638.28
2024-02-19,4.82,4.85,4.95,4.72,247055.65
2024-02-20,4.84,4.9,4.9,4.73,185714.38
2024-02-21,4.88,5.01,5.2,4.81,217870.1
2024-02-22,5.04,5.15,5.22,5.0,167884.19
2024-02-23,5.18,5.33,5.36,5.15,193956.03
2024-02-26,5.34,5.36,5.47,5.31,212456.64
2024-02-27,5.36,5.65,5.68,5.32,204563.01
2024-02-28,5.65,5.28,5.82,5.27,311995.66
2024-02-29,5.21,5.47,5.51,5.21,190017.82
2024-03-01,5.47,5.5,5.6,5.42,176630.45
2024-03-04,5.51,5.44,5.55,5.35,151419.52
2024-03-05,5.46,5.34,5.48,5.32,143937.67
2024-03-06,5.35,5.43,5.48,5.29,133004.11
2024-03-07,5.44,5.3,5.46,5.3,125957.05
2024-03-08,5.34,5.37,5.39,5.24,108905.13
2024-03-11,5.39,5.5,5.5,5.37,164708.02
2024-03-12,5.52,5.61,5.63,5.47,172703.02
2024-03-13,5.63,5.61,5.67,5.54,133870.02
2024-03-14,5.61,5.53,5.66,5.45,129538.01
2024-03-15,5.55,5.65,5.68,5.49,149531.5
2024-03-18,5.65,5.79,5.88,5.64,217815.5
2024-03-19,5.78,5.75,5.83,5.71,150239.26
2024-03-20,5.75,5.76,5.78,5.71,109389.5
2024-03-21,5.77,5.79,5.84,5.7,170379.91
2024-03-22,5.78,5.68,5.8,5.62,128628.83
2024-03-25,5.66,5.46,5.66,5.46,156006.98
2024-03-26,5.45,5.47,5.51,5.37,131632.75
2024-03-27,5.47,5.2,5.5,5.19,141551.36
2024-03-28,5.22,5.41,5.46,5.22,144699.76
2024-03-29,5.46,5.39,5.46,5.32,130627.7
2024-04-01,5.4,5.41,5.46,5.36,155413.43
2024-04-02,5.4,5.32,5.41,5.2,191756.52
2024-04-03,5.33,5.21,5.34,5.16,141684.83
2024-04-08,5.18,5.05,5.19,5.05,146204.2
2024-04-09,5.05,5.19,5.2,5.05,108135.16
2024-04-10,5.18,5.04,5.2,5.0,108243.24
2024-04-11,5.02,5.02,5.11,4.96,99352.72
2024-04-12,5.0,4.95,5.09,4.93,99638.99
2024-04-15,4.94,4.77,5.02,4.68,183821.18
2024-04-16,4.76,4.4,4.77,4.37,222660.0
2024-04-17,4.43,4.66,4.67,4.43,180443.83
2024-04-18,4.68,4.68,4.76,4.57,131828.0
2024-04-19,4.67,4.6,4.7,4.57,103702.69
2024-04-22,4.65,4.62,4.74,4.5,116377.01
2024-04-23,4.66,4.7,4.75,4.64,125104.0
2024-04-24,4.7,4.88,4.9,4.69,123720.23
2024-04-25,4.85,4.85,4.93,4.79,94811.09
2024-04-26,4.86,4.97,4.98,4.82,105717.52
2024-04-29,4.99,5.17,5.2,4.98,126741.36
2024-04-30,5.15,5.14,5.17,5.05,137943.78
2024-05-06,5.2,5.16,5.28,5.15,136083.01
2024-05-07,5.16,5.19,5.21,5.08,116538.66
2024-05-08,5.19,5.12,5.24,5.11,106921.5
2024-05-09,5.12,5.2,5.24,5.11,117428.11
2024-05-10,5.2,5.15,5.25,5.11,111696.31
2024-05-13,5.12,5.04,5.12,5.0,108280.09
2024-05-14,5.06,5.01,5.13,5.0,86453.52
2024-05-15,4.99,4.95,5.05,4.95,76463.65
2024-05-16,4.94,4.94,5.02,4.91,85764.24
2024-05-17,4.94,5.04,5.07,4.9,86496.85
2024-05-20,5.04,5.26,5.53,5.04,416832.48
2024-05-21,5.2,5.12,5.26,5.09,222258.6
2024-05-22,5.1,5.26,5.27,5.05,241350.11
2024-05-23,5.22,5.03,5.22,5.0,245545.83
2024-05-24,5.02,4.88,5.03,4.85,182746.23
2024-05-27,4.85,4.87,4.92,4.75,129253.68
2024-05-28,4.88,4.88,4.95,4.82,114954.83
2024-05-29,4.88,4.9,5.09,4.85,173772.93
2024-05-30,4.89,4.89,4.93,4.81,94984.48
2024-05-31,4.86,5.0,5.07,4.86,165986.02
2024-06-03,5.01,4.83,5.01,4.8,158891.35
2024-06-04,4.82,4.86,4.88,4.71,140617.4
2024-06-05,4.85,4.84,5.03,4.83,171976.03
2024-06-06,4.87,4.69,4.9,4.6,185480.66
2024-06-07,4.73,4.7,4.75,4.64,91706.93
2024-06-11,4.69,4.74,4.75,4.57,98465.0
2024-06-12,4.7,4.85,4.88,4.7,158478.36
2024-06-13,4.83,4.76,4.88,4.75,92513.91
2024-06-14,4.74,4.84,4.85,4.67,121793.17
2024-06-17,4.81,4.88,5.01,4.79,148554.31
2024-06-18,4.86,4.93,4.99,4.84,104627.49
2024-06-19,4.94,4.83,4.96,4.82,91861.25
2024-06-20,4.85,4.7,4.85,4.67,122273.25
2024-06-21,4.68,4.67,4.77,4.65,87110.65
2024-06-24,4.8,4.74,5.14,4.73,411524.26
2024-06-25,4.69,4.56,4.7,4.43,316637.44
2024-06-26,4.52,4.7,4.72,4.43,210808.96
2024-06-27,4.7,4.56,4.71,4.54,137389.81
2024-06-28,4.55,4.52,4.61,4.47,146499.31
2024-07-01,4.53,4.5,4.56,4.4,101618.02
2024-07-02,4.5,4.48,4.54,4.45,93113.11
2024-07-03,4.48,4.41,4.48,4.38,82717.16
2024-07-04,4.4,4.28,4.43,4.25,108176.0
2024-07-05,4.26,4.3,4.34,4.2,85779.0
2024-07-08,4.26,4.12,4.29,4.09,123832.81
2024-07-09,4.1,4.15,4.18,4.0,143957.81
2024-07-10,4.14,4.08,4.21,4.06,86107.42
2024-07-11,4.13,4.24,4.25,4.13,138692.92
2024-07-12,4.23,4.23,4.31,4.21,101240.35
2024-07-15,4.24,4.18,4.26,4.15,86139.0
2024-07-16,4.16,4.15,4.19,4.1,74251.27
2024-07-17,4.15,4.15,4.17,4.1,72392.0
2024-07-18,4.11,4.16,4.18,4.04,93199.93
2024-07-19,4.13,4.19,4.22,4.12,73306.01
2024-07-22,4.18,4.24,4.27,4.17,75191.73
2024-07-23,4.24,4.32,4.46,4.21,206335.71
2024-07-24,4.26,4.28,4.35,4.23,111806.5
2024-07-25,4.25,4.35,4.4,4.24,122299.34
2024-07-26,4.35,4.6,4.63,4.35,272626.32
2024-07-29,4.58,4.62,4.68,4.52,190475.59
2024-07-30,4.6,4.77,4.8,4.58,210768.04
2024-07-31,4.8,4.87,4.89,4.75,239263.13
2024-08-01,4.91,5.06,5.15,4.88,336155.28
2024-08-02,5.01,4.89,5.14,4.88,330286.5
2024-08-05,4.83,4.72,4.97,4.71,259681.19
2024-08-06,4.76,4.95,5.09,4.76,363385.28
2024-08-07,4.97,5.29,5.38,4.92,676467.91
2024-08-08,5.25,4.9,5.27,4.89,555476.11
2024-08-09,5.38,5.39,5.39,5.37,465295.44
2024-08-12,5.41,5.05,5.41,4.98,875306.91
2024-08-13,4.9,4.82,4.95,4.72,433756.28
2024-08-14,4.83,5.3,5.3,4.82,1003070.51
2024-08-15,5.1,5.53,5.7,5.05,1128640.59
2024-08-16,5.49,5.39,5.63,5.33,662816.29
2024-08-19,5.29,5.26,5.36,5.2,382704.01
2024-08-20,5.2,5.31,5.58,5.1,555087.0
2024-08-21,5.21,5.13,5.3,5.11,375865.94
2024-08-22,5.13,5.05,5.24,5.03,333528.0
2024-08-23,5.2,5.37,5.5,5.0,654445.32
2024-08-26,5.39,5.3,5.5,5.28,370413.67
2024-08-27,5.29,5.07,5.29,5.06,276546.0
2024-08-28,5.03,5.06,5.09,4.93,225440.0
2024-08-29,5.0,5.05,5.08,4.92,199375.0
2024-08-30,5.03,5.11,5.2,5.0,262585.01
2024-09-02,5.05,4.86,5.16,4.85,316829.0
2024-09-03,4.86,4.98,5.06,4.84,188906.36
2024-09-04,4.9,4.89,5.0,4.88,125457.02
2024-09-05,4.89,4.95,5.01,4.89,149741.0
2024-09-06,4.97,5.04,5.22,4.92,304322.46
2024-09-09,4.97,4.97,5.11,4.95,178768.37
2024-09-10,4.97,4.93,5.02,4.82,143411.3
2024-09-11,4.93,4.91,4.95,4.86,93174.29
2024-09-12,4.95,5.11,5.22,4.9,387392.6
2024-09-13,5.14,5.23,5.41,5.09,417757.59
2024-09-18,5.17,5.23,5.35,5.13,250989.0
2024-09-19,5.25,5.3,5.35,5.19,299368.02
2024-09-20,5.29,5.15,5.35,5.09,249295.04
2024-09-23,5.11,5.09,5.17,5.08,146516.33
2024-09-24,5.12,5.22,5.24,5.06,237627.66
2024-09-25,5.21,5.74,5.74,5.21,615089.36
2024-09-26,5.9,6.13,6.27,5.77,985474.71
2024-09-27,6.13,6.71,6.74,6.05,744800.2
2024-09-30,6.99,7.2,7.32,6.63,1173626.5
2024-10-08,7.9,7.31,7.92,6.96,1179599.99
2024-10-09,7.2,7.4,7.86,6.79,976723.43
2024-10-10,7.43,7.2,7.54,6.99,553397.67
2024-10-11,7.05,6.62,7.19,6.51,528490.05
2024-10-14,6.68,7.07,7.14,6.6,582773.57
2024-10-15,6.95,6.97,7.3,6.89,456510.95
2024-10-16,6.9,6.94,7.05,6.8,245493.01
2024-10-17,7.0,6.95,7.25,6.94,403092.61
2024-10-18,6.9,7.3,7.4,6.81,591679.43
2024-10-21,7.35,7.36,7.57,7.29,513081.12
2024-10-22,7.37,7.42,7.45,7.2,381292.38
2024-10-23,7.43,7.67,7.85,7.38,602058.2
2024-10-24,7.55,7.36,7.66,7.3,349334.78
2024-10-25,7.38,7.7,7.71,7.37,474364.07
2024-10-28,7.66,8.06,8.22,7.58,581465.62
2024-10-29,8.12,8.16,8.38,7.99,684538.35
2024-10-30,8.14,7.99,8.33,7.91,463390.64
2024-10-31,8.0,8.13,8.28,7.7,482269.56
2024-11-01,8.1,7.63,8.13,7.63,462055.41
2024-11-04,7.64,7.85,7.91,7.64,283091.01
2024-11-05,7.86,8.5,8.52,7.86,626951.07
2024-11-06,8.63,8.96,9.3,8.33,855013.34
2024-11-07,8.79,9.05,9.11,8.6,475320.37
2024-11-08,9.17,9.12,9.4,9.03,498138.65
2024-11-11,9.1,9.09,9.19,8.83,363250.23
2024-11-12,9.05,9.21,9.38,8.9,465405.75
2024-11-13,9.23,9.28,9.45,9.06,338286.1
2024-11-14,9.25,8.88,9.37,8.77,407084.0
2024-11-15,8.93,8.76,9.03,8.72,303077.62
2024-11-18,8.7,9.0,9.01,8.4,366119.6
2024-11-19,8.91,8.99,9.12,8.71,298951.62
2024-11-20,8.99,9.14,9.25,8.9,311769.46
2024-11-21,9.14,9.12,9.2,8.96,261893.29
2024-11-22,9.1,8.85,9.2,8.81,273789.31
2024-11-25,8.85,8.88,9.0,8.61,209674.29
2024-11-26,8.88,9.03,9.04,8.83,220470.89
2024-11-27,8.99,8.61,9.2,8.25,519113.59
2024-11-28,8.53,8.59,8.73,8.42,232782.41
2024-11-29,8.51,8.3,8.53,7.99,442929.76
2024-12-02,8.28,8.35,8.44,8.1,294978.4
2024-12-03,8.35,8.36,8.57,8.2,294517.81
2024-12-04,8.28,8.26,8.47,8.21,179338.55
