date,open,close,high,low,volume
2024-01-02,3.4,3.4,3.42,3.37,249854.89
2024-01-03,3.4,3.43,3.45,3.39,276179.86
2024-01-04,3.44,3.42,3.45,3.4,217418.19
2024-01-05,3.43,3.42,3.47,3.41,227722.33
2024-01-08,3.42,3.33,3.42,3.32,250701.76
2024-01-09,3.32,3.35,3.37,3.28,203823.2
2024-01-10,3.34,3.32,3.35,3.31,134018.94
2024-01-11,3.32,3.32,3.34,3.28,175093.25
2024-01-12,3.31,3.3,3.35,3.3,166528.0
2024-01-15,3.3,3.28,3.3,3.26,193543.48
2024-01-16,3.26,3.25,3.28,3.22,219958.95
2024-01-17,3.25,3.19,3.25,3.19,161713.93
2024-01-18,3.17,3.1,3.18,3.02,398166.09
2024-01-19,3.1,3.11,3.15,3.07,298143.33
2024-01-22,3.11,2.97,3.11,2.94,232161.83
2024-01-23,2.99,3.0,3.02,2.92,265178.98
2024-01-24,3.01,3.09,3.1,2.97,317242.18
2024-01-25,3.09,3.22,3.24,3.08,326743.92
2024-01-26,3.23,3.28,3.28,3.22,248670.0
2024-01-29,3.28,3.26,3.3,3.24,257601.0
2024-01-30,3.25,3.22,3.28,3.2,280219.0
2024-01-31,3.18,3.14,3.23,3.11,283514.0
2024-02-01,3.12,3.11,3.17,3.07,291008.2
2024-02-02,3.1,3.05,3.18,2.98,328941.09
2024-02-05,3.04,2.96,3.07,2.87,457458.18
2024-02-06,2.9,3.14,3.16,2.9,512554.02
2024-02-07,3.12,3.23,3.24,3.12,579149.24
2024-02-08,3.23,3.29,3.36,3.22,552055.1
2024-02-19,3.34,3.27,3.34,3.24,400397.82
2024-02-20,3.25,3.28,3.29,3.23,231702.18
2024-02-21,3.28,3.3,3.35,3.24,295978.0
2024-02-22,3.28,3.3,3.33,3.27,206505.77
2024-02-23,3.32,3.28,3.32,3.26,196754.0
2024-02-26,3.29,3.26,3.3,3.25,290787.51
2024-02-27,3.25,3.27,3.28,3.24,216517.32
2024-02-28,3.26,3.24,3.32,3.24,363791.2
2024-02-29,3.24,3.25,3.27,3.23,288602.12
2024-03-01,3.25,3.24,3.26,3.22,318653.53
2024-03-04,3.23,3.16,3.24,3.15,385322.11
2024-03-05,3.15,3.13,3.16,3.1,265508.9
2024-03-06,3.12,3.16,3.18,3.11,232446.96
2024-03-07,3.16,3.22,3.26,3.15,337966.02
2024-03-08,3.22,3.22,3.24,3.18,182716.48
2024-03-11,3.21,3.22,3.24,3.18,270126.85
2024-03-12,3.23,3.2,3.23,3.17,231328.15
2024-03-13,3.18,3.17,3.2,3.16,169566.43
2024-03-14,3.16,3.17,3.21,3.15,215201.55
2024-03-15,3.14,3.23,3.24,3.12,341003.69
2024-03-18,3.23,3.24,3.25,3.2,332048.05
2024-03-19,3.24,3.24,3.29,3.22,336004.28
2024-03-20,3.22,3.23,3.24,3.2,211148.25
2024-03-21,3.22,3.21,3.24,3.2,240902.42
2024-03-22,3.21,3.16,3.22,3.14,273160.87
2024-03-25,3.16,3.17,3.22,3.15,249715.84
2024-03-26,3.17,3.17,3.2,3.13,244476.4
2024-03-27,3.16,3.12,3.19,3.11,189329.67
2024-03-28,3.11,3.1,3.15,3.08,242769.82
2024-03-29,3.1,3.15,3.15,3.1,232948.63
2024-04-01,3.15,3.2,3.21,3.15,304073.23
2024-04-02,3.21,3.26,3.26,3.2,441116.25
2024-04-03,3.25,3.3,3.31,3.25,429605.62
2024-04-08,3.34,3.32,3.37,3.3,421611.52
2024-04-09,3.3,3.32,3.35,3.29,224278.98
2024-04-10,3.33,3.31,3.37,3.28,308432.58
2024-04-11,3.29,3.35,3.39,3.27,338000.24
2024-04-12,3.34,3.32,3.36,3.31,249858.26
2024-04-15,3.32,3.35,3.38,3.25,363525.69
2024-04-16,3.32,3.28,3.38,3.25,486575.16
2024-04-17,3.29,3.34,3.34,3.26,438714.21
2024-04-18,3.32,3.35,3.38,3.31,332328.08
2024-04-19,3.33,3.42,3.46,3.33,451743.63
2024-04-22,3.35,3.21,3.4,3.18,831171.15
2024-04-23,3.2,3.06,3.21,3.03,865548.07
2024-04-24,3.04,3.04,3.06,3.0,645343.52
2024-04-25,3.03,3.08,3.11,3.02,540090.01
2024-04-26,3.07,3.14,3.14,3.04,481737.49
2024-04-29,3.12,3.19,3.19,3.09,394043.19
2024-04-30,3.18,3.14,3.21,3.13,325333.3
2024-05-06,3.17,3.22,3.23,3.15,413772.03
2024-05-07,3.22,3.15,3.22,3.14,437107.15
2024-05-08,3.14,3.1,3.16,3.09,290977.72
2024-05-09,3.09,3.14,3.16,3.09,268705.56
2024-05-10,3.16,3.15,3.16,3.1,209309.0
2024-05-13,3.13,3.16,3.18,3.1,389639.2
2024-05-14,3.16,3.12,3.18,3.1,282768.26
2024-05-15,3.11,3.1,3.13,3.08,252582.0
