date,open,close,high,low,volume
2024-01-02,6.45,6.5,6.54,6.41,78283.0
2024-01-03,6.5,6.43,6.5,6.39,73323.06
2024-01-04,6.44,6.39,6.45,6.33,49404.28
2024-01-05,6.83,6.61,7.03,6.51,1055828.39
2024-01-08,6.35,6.28,6.47,6.0,712572.74
2024-01-09,6.25,6.48,6.73,6.18,557555.12
2024-01-10,6.51,6.35,6.69,6.35,483445.08
2024-01-11,6.26,6.49,6.5,6.22,328383.1
2024-01-12,6.43,6.43,6.63,6.39,290588.35
2024-01-15,6.32,6.41,6.56,6.3,235744.07
2024-01-16,6.32,6.17,6.38,6.06,331316.07
2024-01-17,6.12,5.96,6.13,5.93,232197.4
2024-01-18,5.92,5.88,5.92,5.69,187817.0
2024-01-19,5.86,5.8,5.93,5.8,85504.24
2024-01-22,5.77,5.37,5.78,5.32,161027.57
2024-01-23,5.38,5.45,5.5,5.25,118271.5
2024-01-24,5.48,5.53,5.54,5.26,118459.3
2024-01-25,5.55,5.71,5.72,5.5,118192.77
2024-01-26,5.7,5.68,5.83,5.66,109996.44
2024-01-29,5.66,5.51,5.74,5.49,105242.0
2024-01-30,5.45,5.34,5.54,5.31,80635.5
2024-01-31,5.26,4.91,5.29,4.9,191347.18
2024-02-01,4.9,4.8,4.95,4.71,124655.01
2024-02-02,4.88,4.6,4.92,4.32,156431.41
2024-02-05,4.53,4.14,4.54,4.14,177410.35
2024-02-06,4.07,4.19,4.39,3.85,185481.12
2024-02-07,4.2,4.25,4.39,4.1,158518.95
2024-02-08,4.26,4.53,4.55,4.19,196857.01
2024-02-19,4.59,4.68,4.81,4.58,154397.38
2024-02-20,4.7,4.76,4.77,4.57,102684.36
2024-02-21,4.76,4.89,5.07,4.69,190497.38
2024-02-22,4.87,4.95,4.97,4.8,110144.72
2024-02-23,4.95,5.12,5.15,4.92,146333.61
2024-02-26,5.13,5.17,5.27,5.09,140673.0
2024-02-27,5.14,5.25,5.25,5.1,111417.0
2024-02-28,5.26,4.95,5.44,4.93,204052.66
2024-02-29,4.92,5.17,5.18,4.88,145869.03
2024-03-01,5.16,5.19,5.24,5.11,100060.5
2024-03-04,5.18,5.14,5.24,5.08,93228.0
2024-03-05,5.13,5.03,5.16,4.99,113584.51
2024-03-06,5.01,5.13,5.18,5.0,103827.0
2024-03-07,5.13,5.22,5.37,5.12,205571.0
2024-03-08,5.23,5.21,5.29,5.11,118494.0
2024-03-11,5.29,5.55,5.7,5.23,400518.05
2024-03-12,5.5,5.4,5.52,5.35,268119.89
2024-03-13,5.4,5.36,5.42,5.29,173473.16
2024-03-14,5.39,5.37,5.47,5.25,202827.19
2024-03-15,5.33,5.68,5.69,5.26,347055.84
2024-03-18,5.66,5.64,5.67,5.53,226544.11
2024-03-19,5.59,5.62,5.79,5.57,275776.99
2024-03-20,5.59,5.6,5.65,5.55,157539.8
2024-03-21,5.65,5.61,5.7,5.52,152370.17
2024-03-22,5.57,5.45,5.63,5.4,163852.56
2024-03-25,5.4,5.37,5.6,5.36,145872.07
2024-03-26,5.36,5.63,5.73,5.33,300326.83
2024-03-27,5.82,5.49,5.98,5.47,486527.11
2024-03-28,5.45,5.81,5.89,5.39,497869.22
2024-03-29,5.77,6.25,6.39,5.7,744078.22
2024-04-01,6.43,6.87,6.88,6.31,1209225.14
2024-04-02,7.21,7.56,7.56,7.21,638108.24
2024-04-03,8.32,7.69,8.32,7.29,1908900.78
2024-04-08,8.05,8.46,8.46,8.03,1902422.09
2024-04-09,8.17,9.3,9.31,8.16,2687032.16
2024-04-10,8.79,8.57,8.93,8.37,1894513.35
2024-04-11,8.1,7.89,8.4,7.8,1466165.55
2024-04-12,7.9,7.32,8.09,7.29,1400416.86
2024-04-15,7.09,6.59,7.28,6.59,1133024.06
2024-04-16,6.52,6.54,6.95,5.95,1390192.07
2024-04-17,6.68,6.83,6.99,6.65,1087346.0
2024-04-18,6.62,7.51,7.51,6.56,1527825.02
2024-04-19,7.44,7.81,7.96,7.4,1720587.71
2024-04-22,7.69,7.71,8.37,7.55,1418997.98
2024-04-23,7.5,8.05,8.36,7.25,1430409.41
2024-04-24,7.93,8.1,8.18,7.83,1030399.76
2024-04-25,7.93,8.11,8.5,7.86,1311690.94
2024-04-26,7.87,8.1,8.38,7.74,1207426.45
2024-04-29,7.93,8.33,8.45,7.92,1210849.93
2024-04-30,8.35,7.86,8.45,7.78,952272.1
2024-05-06,7.95,8.38,8.56,7.89,1088547.75
2024-05-07,8.38,8.37,8.56,8.28,893435.97
2024-05-08,8.32,7.93,8.32,7.91,647823.32
2024-05-09,8.18,7.97,8.35,7.94,867257.71
2024-05-10,7.83,7.54,7.91,7.48,835418.69
2024-05-13,7.5,7.12,7.53,7.06,548948.0
2024-05-14,7.12,7.14,7.28,7.11,325969.0
2024-05-15,7.09,7.1,7.25,6.99,304158.38
2024-05-16,7.18,7.07,7.24,7.05,321424.38
2024-05-17,7.05,7.17,7.24,6.91,463346.91
2024-05-20,7.26,7.33,7.42,7.18,645227.22
2024-05-21,7.24,7.01,7.26,6.98,470205.07
2024-05-22,6.95,6.89,7.07,6.8,377214.81
2024-05-23,6.8,6.61,6.82,6.57,388234.85
2024-05-24,6.61,6.5,6.63,6.44,285053.55
2024-05-27,6.6,7.05,7.15,6.58,1125957.53
2024-05-28,6.86,6.72,6.92,6.71,724796.09
2024-05-29,6.66,7.23,7.36,6.63,944623.45
2024-05-30,7.2,7.08,7.46,7.05,913522.8
2024-05-31,7.12,6.84,7.19,6.82,555462.1
2024-06-03,6.78,6.56,6.8,6.46,440738.22
