date,open,close,high,low,volume
2024-01-02,5.41,5.43,5.48,5.39,94788.0
2024-01-03,5.44,5.41,5.45,5.36,89320.17
2024-01-04,5.41,5.39,5.42,5.36,66303.0
2024-01-05,5.39,5.29,5.41,5.25,89056.96
2024-01-08,5.3,5.18,5.32,5.18,91215.0
2024-01-09,5.19,5.23,5.29,5.18,103397.2
2024-01-10,5.22,5.18,5.25,5.14,87300.0
2024-01-11,5.19,5.27,5.29,5.13,76421.0
2024-01-12,5.25,5.24,5.31,5.23,74911.0
2024-01-15,5.22,5.17,5.22,5.11,92667.04
2024-01-16,5.17,5.17,5.25,5.12,97058.59
2024-01-17,5.31,5.1,5.35,5.09,302044.78
2024-01-18,5.07,5.08,5.16,4.89,283328.0
2024-01-19,5.04,4.99,5.08,4.97,169851.74
2024-01-22,4.97,4.69,5.0,4.65,206258.96
2024-01-23,4.64,4.73,4.76,4.55,168841.45
2024-01-24,4.75,4.81,4.87,4.63,164565.11
2024-01-25,4.81,4.98,4.99,4.76,140561.66
2024-01-26,4.94,4.9,4.99,4.89,119106.0
2024-01-29,4.92,4.76,4.95,4.75,112090.0
2024-01-30,4.76,4.68,4.83,4.66,141427.0
2024-01-31,4.64,4.47,4.71,4.45,183516.94
2024-02-01,4.45,4.49,4.58,4.4,242763.0
2024-02-02,4.47,4.23,4.53,4.11,234110.82
2024-02-05,4.17,3.87,4.2,3.8,316071.47
2024-02-06,3.82,4.2,4.26,3.75,340230.48
2024-02-07,4.22,4.3,4.39,4.15,255260.9
2024-02-08,4.36,4.73,4.73,4.29,313807.31
2024-02-19,4.74,4.6,4.79,4.5,372947.2
2024-02-20,4.58,4.58,4.59,4.49,198151.1
2024-02-21,4.55,4.63,4.8,4.5,266678.04
2024-02-22,4.63,4.7,4.71,4.62,152480.41
2024-02-23,4.71,4.81,4.83,4.65,181056.62
2024-02-26,4.91,5.0,5.06,4.85,276764.93
2024-02-27,5.0,5.08,5.08,4.95,199815.09
2024-02-28,5.07,4.79,5.12,4.79,278232.85
2024-02-29,4.78,5.02,5.02,4.76,187770.31
2024-03-01,5.0,5.01,5.08,4.93,193580.09
2024-03-04,5.0,4.98,5.03,4.91,127598.0
2024-03-05,4.95,4.93,5.0,4.9,121771.33
2024-03-06,4.94,4.99,5.03,4.93,152971.8
2024-03-07,5.0,4.95,5.08,4.95,136487.79
2024-03-08,4.96,4.98,5.02,4.92,120878.0
2024-03-11,4.97,5.07,5.07,4.94,130422.26
2024-03-12,5.09,5.14,5.16,5.06,159083.3
2024-03-13,5.16,5.18,5.24,5.12,167384.39
2024-03-14,5.2,5.16,5.27,5.1,129454.0
2024-03-15,5.19,5.26,5.27,5.13,124783.34
2024-03-18,5.28,5.36,5.38,5.28,190430.79
2024-03-19,5.35,5.26,5.35,5.25,195519.8
2024-03-20,5.27,5.22,5.32,5.13,288796.1
2024-03-21,5.22,5.2,5.25,5.11,192202.32
2024-03-22,5.18,5.16,5.19,5.08,177195.82
2024-03-25,5.15,5.02,5.17,5.0,191434.1
2024-03-26,5.04,5.06,5.09,4.98,152064.41
2024-03-27,5.07,4.93,5.08,4.91,167856.41
2024-03-28,4.92,5.03,5.09,4.91,166962.23
2024-03-29,5.04,5.1,5.1,5.0,116302.86
2024-04-01,5.11,5.22,5.22,5.1,174043.6
2024-04-02,5.23,5.22,5.25,5.15,122458.94
2024-04-03,5.19,5.15,5.21,5.11,112525.5
2024-04-08,5.13,5.09,5.2,5.08,110150.4
2024-04-09,5.1,5.14,5.15,5.08,99686.95
2024-04-10,5.13,5.07,5.18,5.01,125095.63
2024-04-11,5.06,5.12,5.2,5.01,128520.0
2024-04-12,5.16,5.05,5.18,5.04,100899.0
2024-04-15,5.1,5.02,5.15,4.92,214807.74
2024-04-16,5.03,4.69,5.03,4.68,284020.75
2024-04-17,4.74,5.04,5.04,4.74,181433.96
2024-04-18,5.05,5.08,5.18,4.98,183435.93
