ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
836736.BJ,20250430,20250331,中国建设银行股份有限公司-信澳领先增长混合型证券投资基金,1160341.0,2.0723,2.0724,121036.0,开放式投资基金
836736.BJ,20250430,20250331,上海华芯创业投资企业,2164879.0,3.8664,3.8665,-477121.0,风险投资公司
836736.BJ,20250430,20250331,中国建设银行股份有限公司-信澳先进智造股票型证券投资基金,1448486.0,2.5869,2.587,32995.0,开放式投资基金
830866.BJ,20250430,20250331,张宝泉,79425226.0,19.8558,19.8558,0.0,自然人
830866.BJ,20250430,20250331,梁启华,3256228.0,0.814,0.814,0.0,自然人
830866.BJ,20250430,20250331,天风证券资管-苏州工业园区凌志软件股份有限公司-第一期员工持股计划-天风天浩18号单一资产管理计划,2046827.0,0.5116,0.5117,,券商集合资产管理计划
830866.BJ,20250430,20250331,上海华达启富企业服务中心(有限合伙),13128719.0,3.282,3.2821,0.0,一般企业
830866.BJ,20250430,20250331,上海达盈智汇企业服务中心(有限合伙),16522766.0,4.1305,4.1306,0.0,一般企业
830866.BJ,20250430,20250331,周颖,4359915.0,1.0899,1.09,0.0,自然人
830866.BJ,20250430,20250331,吴艳芳,66683517.0,16.6704,16.6705,0.0,自然人
830866.BJ,20250430,20250331,上海富汇智华企业服务中心(有限合伙),3035568.0,0.7588,0.7589,0.0,一般企业
688737.SH,20250430,20250331,申万宏源证券-中信银行-申万宏源中自科技员工参与科创板战略配售1号集合资产管理计划,1500405.0,1.2548,2.1292,-351000.0,券商集合资产管理计划
688737.SH,20250430,20250331,南京银鞍岭英新能源产业投资基金合伙企业(有限合伙),7648785.0,6.3972,10.8542,,风险投资公司
688737.SH,20250430,20250331,陈耀强,3472000.0,2.9038,4.927,0.0,自然人
688737.SH,20250430,20250331,龚茂初,771527.0,0.6452,1.0949,0.0,自然人
688262.SH,20250429,20250331,西藏津盛泰达创业投资有限公司,8500000.0,2.5297,3.2154,-1200000.0,风险投资公司
688262.SH,20250429,20250331,国家集成电路产业投资基金股份有限公司,13004645.0,3.8704,4.9195,0.0,风险投资公司
688262.SH,20250429,20250331,魏宏锟,4120000.0,1.2261,1.5585,-380000.0,自然人
688262.SH,20250429,20250331,宁波麒越创业投资合伙企业(有限合伙),22149387.0,6.592,8.3788,-4298653.0,风险投资公司
688585.SH,20250430,20250331,须绍宗,862000.0,0.2137,0.2137,,自然人
688169.SH,20250430,20250331,昌敬,38841008.0,21.0266,21.0266,0.0,自然人
688169.SH,20250430,20250331,天津金米投资合伙企业(有限合伙),5420667.0,2.9344,2.9345,0.0,投资公司
688585.SH,20250430,20250331,SWINHOKAINVESTMENTLIMITED,995763.0,0.2468,0.2469,-316561.0,投资公司
688169.SH,20250430,20250331,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,5943326.0,3.2174,3.2174,-240053.0,开放式投资基金
688169.SH,20250430,20250331,毛国华,2212659.0,1.1978,1.1978,0.0,自然人
688169.SH,20250430,20250331,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,2448748.0,1.3256,1.3256,-23087.0,开放式投资基金
688169.SH,20250430,20250331,天津石头时代企业管理咨询合伙企业(有限合伙),2176058.0,1.178,1.178,-183405.0,投资公司
688169.SH,20250430,20250331,香港中央结算有限公司,7160808.0,3.8765,3.8765,667638.0,一般企业
688390.SH,20250429,20250331,郑加炫,7027200.0,2.8967,2.8968,-56100.0,自然人
